Player,role,Runs,NO,HS,Avg,BF,SR,100,50,4s,6s,Wkts,Ov,Runs_bowler,Avg_bowler,Econ,SR_bowler,4w,5w,Team,Match,Inns,role_All-Rounder,role_Batsman,role_Bowler,role_WK,Pts,recent_form
Nicholas Pooran,WK,524.0,2.0,87.0,43.67,267.0,196.25,0.0,5.0,45.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LSG,14.0,14.0,0.0,0.0,0.0,1.0,272.5,1.0
Nitish Kumar Reddy,All-Rounder,182.0,3.0,32.0,22.75,153.0,118.95,0.0,0.0,16.0,4.0,2.0,5.0,47.0,23.5,9.4,15.0,0.0,0.0,SRH,13.0,11.0,1.0,0.0,0.0,0.0,86.5,0.326
Nitish Rana,Batsman,217.0,1.0,81.0,21.7,134.0,161.94,0.0,2.0,27.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RR,11.0,11.0,0.0,1.0,0.0,0.0,104.0,0.584
Noor Ahmad,Bowler,7.0,2.0,2.0,1.75,17.0,41.17,0.0,0.0,0.0,0.0,24.0,50.0,408.0,17.0,8.16,12.5,2.0,0.0,CSK,14.0,6.0,0.0,0.0,1.0,0.0,196.0,1.0
Nuwan Thushara,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,26.0,26.0,6.5,24.0,0.0,0.0,RCB,1.0,0.0,0.0,0.0,1.0,0.0,13.5,0.225
Pat Cummins,All-Rounder,97.0,5.0,22.0,24.25,58.0,167.24,0.0,0.0,6.0,7.0,16.0,49.4,450.0,28.12,9.06,18.62,0.0,0.0,SRH,14.0,9.0,1.0,0.0,0.0,0.0,226.0,0.609
Phil Salt,WK,403.0,1.0,65.0,33.58,229.0,175.98,0.0,4.0,48.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCB,13.0,13.0,0.0,0.0,0.0,1.0,219.5,0.836
Prabhsimran Singh,WK,549.0,0.0,91.0,32.29,342.0,160.52,0.0,4.0,56.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PBKS,17.0,17.0,0.0,0.0,0.0,1.0,252.5,0.98
Prasidh Krishna,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,59.0,488.0,19.52,8.27,14.16,1.0,0.0,GT,15.0,0.0,0.0,0.0,1.0,0.0,246.0,1.0
Pravin Dubey,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,20.0,20.0,10.0,12.0,0.0,0.0,PBKS,1.0,0.0,0.0,0.0,1.0,0.0,10.0,0.05
Prince Yadav,Bowler,5.0,2.0,4.0,0.0,10.0,50.0,0.0,0.0,0.0,0.0,3.0,22.5,225.0,75.0,9.85,45.66,0.0,0.0,LSG,6.0,2.0,0.0,0.0,1.0,0.0,63.0,0.158
Priyansh Arya,Batsman,475.0,0.0,103.0,27.94,265.0,179.24,1.0,2.0,55.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PBKS,17.0,17.0,0.0,1.0,0.0,0.0,245.0,0.928
Quinton De Kock,WK,152.0,1.0,97.0,21.71,117.0,129.91,0.0,1.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KKR,8.0,8.0,0.0,0.0,0.0,1.0,68.5,0.442
Rachin Ravindra,Batsman,191.0,1.0,65.0,27.29,149.0,128.18,0.0,1.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CSK,8.0,8.0,0.0,1.0,0.0,0.0,64.0,0.486
Rahmanullah Gurbaz,Batsman,74.0,1.0,35.0,18.5,53.0,139.62,0.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KKR,5.0,5.0,0.0,1.0,0.0,0.0,40.5,0.368
Rahul Chahar,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SRH,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.5
Rahul Tewatia,Batsman,99.0,4.0,24.0,12.38,59.0,167.79,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GT,15.0,12.0,0.0,1.0,0.0,0.0,49.5,0.454
Rahul Tripathi,Batsman,55.0,0.0,23.0,11.0,57.0,96.49,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CSK,5.0,5.0,0.0,1.0,0.0,0.0,21.0,0.259
Raj Angad Bawa,Batsman,8.0,1.0,8.0,0.0,4.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MI,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.41
Rajat Patidar,Batsman,312.0,1.0,64.0,24.0,217.0,143.77,0.0,2.0,25.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCB,15.0,14.0,0.0,1.0,0.0,0.0,116.5,0.662
Ramandeep Singh,Batsman,47.0,2.0,22.0,9.4,35.0,134.28,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KKR,11.0,7.0,0.0,1.0,0.0,0.0,29.0,0.325
Rashid Khan,Bowler,40.0,3.0,12.0,8.0,28.0,142.85,0.0,0.0,2.0,3.0,9.0,55.0,514.0,57.11,9.34,36.66,0.0,0.0,GT,15.0,8.0,0.0,0.0,1.0,0.0,157.5,0.483
Rasikh Dar,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,70.0,70.0,11.66,36.0,0.0,0.0,RCB,2.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0
Ravi Bishnoi,Bowler,13.0,1.0,13.0,6.5,16.0,81.25,0.0,0.0,0.0,2.0,9.0,37.0,401.0,44.55,10.83,24.66,0.0,0.0,LSG,11.0,3.0,0.0,0.0,1.0,0.0,121.5,0.409
Ravichandran Ashwin,Bowler,33.0,0.0,13.0,8.25,30.0,110.0,0.0,0.0,3.0,1.0,7.0,31.0,283.0,40.42,9.12,26.57,0.0,0.0,CSK,9.0,4.0,0.0,0.0,1.0,0.0,102.5,0.394
Ravindra Jadeja,All-Rounder,301.0,5.0,77.0,33.44,222.0,135.58,0.0,2.0,25.0,10.0,10.0,37.5,324.0,32.4,8.56,22.7,0.0,0.0,CSK,14.0,14.0,1.0,0.0,0.0,0.0,226.0,0.608
Reece Topley,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MI,0.0,0.0,0.0,0.0,1.0,0.0,8.5,0.5
Richard Gleeson,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.3,39.0,39.0,11.14,21.0,0.0,0.0,MI,1.0,0.0,0.0,0.0,1.0,0.0,8.5,0.0
Rinku Singh,Batsman,206.0,4.0,38.0,29.43,134.0,153.73,0.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KKR,13.0,11.0,0.0,1.0,0.0,0.0,109.0,0.555
Rishabh Pant,WK,269.0,2.0,118.0,24.45,202.0,133.16,1.0,1.0,23.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LSG,14.0,13.0,0.0,0.0,0.0,1.0,130.0,0.589
Riyan Parag,All-Rounder,393.0,2.0,95.0,32.75,236.0,166.52,0.0,1.0,27.0,27.0,3.0,20.0,170.0,56.66,8.5,40.0,0.0,0.0,RR,14.0,14.0,1.0,0.0,0.0,0.0,224.0,0.573
Robin Minz,Batsman,6.0,0.0,3.0,3.0,15.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MI,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.087
Rohit Sharma,Batsman,418.0,1.0,81.0,29.86,280.0,149.28,0.0,4.0,41.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MI,15.0,15.0,0.0,1.0,0.0,0.0,182.0,0.8
Romario Shepherd,All-Rounder,70.0,1.0,53.0,35.0,24.0,291.66,0.0,1.0,5.0,7.0,6.0,14.0,151.0,25.16,10.78,14.0,0.0,0.0,RCB,8.0,3.0,1.0,0.0,0.0,0.0,95.0,0.505
Rovman Powell,Uncategorized,5.0,0.0,5.0,5.0,5.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KKR,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0
Ruturaj Gaikwad,Batsman,122.0,0.0,63.0,24.4,81.0,150.61,0.0,2.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CSK,5.0,5.0,0.0,1.0,0.0,0.0,56.5,0.448
Ryan Rickelton,WK,388.0,1.0,62.0,29.85,257.0,150.97,0.0,3.0,47.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MI,14.0,14.0,0.0,0.0,0.0,1.0,224.5,0.768
Sai Kishore,Bowler,5.0,0.0,3.0,1.67,10.0,50.0,0.0,0.0,0.0,0.0,19.0,42.3,393.0,20.68,9.24,13.42,0.0,0.0,GT,15.0,3.0,0.0,0.0,1.0,0.0,156.0,0.988
Sai Sudharsan,Batsman,759.0,1.0,108.0,54.21,486.0,156.17,1.0,6.0,88.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GT,15.0,15.0,0.0,1.0,0.0,0.0,311.0,1.0
Sam Curran,All-Rounder,114.0,0.0,88.0,22.8,84.0,135.71,0.0,1.0,11.0,4.0,1.0,12.0,133.0,133.0,11.08,72.0,0.0,0.0,CSK,5.0,5.0,1.0,0.0,0.0,0.0,70.5,0.243
Sameer Rizvi,Batsman,121.0,1.0,58.0,40.33,79.0,153.16,0.0,1.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DC,5.0,4.0,0.0,1.0,0.0,0.0,57.0,0.452
Sandeep Sharma,Bowler,6.0,1.0,6.0,0.0,5.0,120.0,0.0,0.0,0.0,0.0,9.0,36.3,361.0,40.11,9.89,24.33,0.0,0.0,RR,10.0,1.0,0.0,0.0,1.0,0.0,89.5,0.455
Sanju Samson,Batsman,285.0,1.0,66.0,35.63,203.0,140.39,0.0,1.0,27.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RR,9.0,9.0,0.0,1.0,0.0,0.0,125.5,0.623
Sediqullah Atal,Batsman,22.0,0.0,22.0,22.0,16.0,137.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DC,1.0,1.0,0.0,1.0,0.0,0.0,7.0,0.301
Shahbaz Ahamad,All-Rounder,251.0,3.0,59.0,23.89,166.0,129.51,0.0,1.0,7.0,13.0,7.0,27.3,270.0,38.57,9.81,23.57,0.0,0.0,LSG,16.0,15.0,1.0,0.0,0.0,0.0,150.0,0.48
Shahbaz Ahmed,Bowler,9.0,0.0,9.0,9.0,8.0,112.5,0.0,0.0,1.0,0.0,1.0,8.3,102.0,102.0,12.0,51.0,0.0,0.0,LSG,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Shahrukh Khan,All-Rounder,179.0,5.0,57.0,29.83,100.0,179.0,0.0,1.0,11.0,13.0,1.0,1.0,13.0,13.0,13.0,6.0,0.0,0.0,GT,15.0,11.0,1.0,0.0,0.0,0.0,90.0,0.304
Shaik Rasheed,Batsman,71.0,0.0,27.0,14.2,63.0,112.69,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CSK,5.0,5.0,0.0,1.0,0.0,0.0,32.0,0.311
Shardul Thakur,Bowler,18.0,2.0,6.0,6.0,12.0,150.0,0.0,0.0,3.0,0.0,13.0,34.0,375.0,28.84,11.02,15.69,1.0,0.0,LSG,10.0,5.0,0.0,0.0,1.0,0.0,124.0,0.599
Shashank Singh,Batsman,350.0,7.0,61.0,50.0,228.0,153.5,0.0,3.0,23.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PBKS,17.0,14.0,0.0,1.0,0.0,0.0,141.0,0.727
Sherfane Rutherford,Batsman,291.0,2.0,46.0,32.33,185.0,157.29,0.0,0.0,22.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GT,13.0,11.0,0.0,1.0,0.0,0.0,120.5,0.664
Shimron Hetmyer,Batsman,239.0,2.0,52.0,21.73,164.0,145.73,0.0,1.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RR,14.0,13.0,0.0,1.0,0.0,0.0,115.0,0.578
Shivam Dube,Batsman,357.0,3.0,50.0,32.45,270.0,132.22,0.0,1.0,22.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CSK,14.0,14.0,0.0,1.0,0.0,0.0,139.5,0.693
Shreyas Iyer,Batsman,604.0,5.0,97.0,50.33,345.0,175.07,0.0,6.0,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PBKS,17.0,17.0,0.0,1.0,0.0,0.0,261.5,1.0
Shubham Dubey,Batsman,106.0,4.0,34.0,26.5,66.0,160.6,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RR,9.0,8.0,0.0,1.0,0.0,0.0,45.5,0.448
Shubman Gill,Batsman,650.0,2.0,93.0,50.0,417.0,155.87,0.0,6.0,62.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GT,15.0,15.0,0.0,1.0,0.0,0.0,259.0,1.0
Simarjeet Singh,Bowler,3.0,1.0,3.0,1.5,7.0,42.85,0.0,0.0,0.0,0.0,2.0,10.0,141.0,70.5,14.1,30.0,0.0,0.0,SRH,4.0,3.0,0.0,0.0,1.0,0.0,29.0,0.0
Spencer Johnson,Bowler,2.0,2.0,1.0,0.0,4.0,50.0,0.0,0.0,0.0,0.0,1.0,11.2,133.0,133.0,11.73,68.0,0.0,0.0,KKR,4.0,2.0,0.0,0.0,1.0,0.0,32.0,0.0
Sunil Narine,All-Rounder,246.0,1.0,44.0,22.36,144.0,170.83,0.0,0.0,25.0,19.0,12.0,45.0,351.0,29.25,7.8,22.5,0.0,0.0,KKR,12.0,12.0,1.0,0.0,0.0,0.0,270.5,0.666
Surya Kumar Yadav,Batsman,717.0,5.0,73.0,65.18,427.0,167.91,0.0,5.0,69.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MI,16.0,16.0,0.0,1.0,0.0,0.0,320.5,1.0
Suryansh Shedge,Batsman,7.0,0.0,4.0,2.33,11.0,63.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PBKS,5.0,3.0,0.0,1.0,0.0,0.0,3.5,0.136
Suyash Sharma,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,50.0,442.0,55.25,8.84,37.5,0.0,0.0,RCB,14.0,0.0,0.0,0.0,1.0,0.0,132.5,0.458
T Natarajan,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,51.2,465.0,24.47,9.05,16.21,1.0,0.0,DC,14.0,14.0,0.0,0.0,1.0,0.0,183.5,0.997
Tim David,Batsman,187.0,6.0,50.0,62.33,101.0,185.14,0.0,1.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCB,12.0,9.0,0.0,1.0,0.0,0.0,108.0,0.595
Travis Head,Batsman,374.0,0.0,76.0,31.17,230.0,162.6,0.0,3.0,50.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SRH,13.0,12.0,0.0,1.0,0.0,0.0,185.0,0.774
Trent Boult,Bowler,2.0,1.0,1.0,2.0,3.0,66.66,0.0,0.0,0.0,0.0,22.0,57.4,517.0,23.5,8.96,15.72,1.0,0.0,MI,16.0,2.0,0.0,0.0,1.0,0.0,206.5,1.0
Tristan Stubbs,WK,300.0,7.0,41.0,50.0,199.0,150.75,0.0,0.0,25.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DC,14.0,13.0,0.0,0.0,0.0,1.0,131.5,0.661
Tushar Deshpande,Bowler,7.0,3.0,3.0,7.0,8.0,87.5,0.0,0.0,0.0,0.0,9.0,32.0,340.0,37.77,10.62,21.33,0.0,0.0,RR,10.0,4.0,0.0,0.0,1.0,0.0,95.5,0.419
Urvil Patel,WK,68.0,0.0,37.0,22.67,32.0,212.5,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CSK,3.0,3.0,0.0,0.0,0.0,1.0,38.5,0.507
V Satyanarayana Penmetsa,Bowler,1.0,1.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,4.0,53.0,53.0,13.25,24.0,0.0,0.0,MI,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Vaibhav Arora,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,42.3,430.0,25.29,10.11,15.0,0.0,0.0,KKR,12.0,0.0,0.0,0.0,1.0,0.0,166.5,0.845
Vaibhav Suryavanshi,Batsman,252.0,0.0,101.0,36.0,122.0,206.55,1.0,1.0,18.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RR,7.0,7.0,0.0,1.0,0.0,0.0,129.0,0.716
Varun Chakaravarthy,Bowler,1.0,1.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,17.0,50.0,383.0,22.52,7.66,17.64,0.0,0.0,KKR,13.0,1.0,0.0,0.0,1.0,0.0,181.5,0.967
Venkatesh Iyer,Batsman,142.0,0.0,60.0,20.29,102.0,139.21,0.0,1.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KKR,11.0,7.0,0.0,1.0,0.0,0.0,63.0,0.449
Vignesh Puthur,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,109.0,18.16,9.08,12.0,0.0,0.0,MI,5.0,0.0,0.0,0.0,1.0,0.0,50.0,0.346
Vijay Shankar,Batsman,118.0,2.0,69.0,39.33,91.0,129.67,0.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CSK,6.0,5.0,0.0,1.0,0.0,0.0,35.5,0.401
Vipraj Nigam,All-Rounder,142.0,1.0,39.0,20.29,79.0,179.74,0.0,0.0,15.0,8.0,11.0,39.0,356.0,32.36,9.12,21.27,0.0,0.0,DC,14.0,8.0,1.0,0.0,0.0,0.0,190.0,0.556
Virat Kohli,Batsman,657.0,3.0,73.0,54.75,454.0,144.71,0.0,8.0,66.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCB,15.0,15.0,0.0,1.0,0.0,0.0,242.0,1.0
Vyshak Vijaykumar,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,181.0,45.25,10.64,25.5,0.0,0.0,PBKS,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.168
Wanindu Hasaranga,Bowler,9.0,0.0,4.0,1.8,15.0,60.0,0.0,0.0,0.0,0.0,11.0,41.0,371.0,33.72,9.04,22.36,1.0,0.0,RR,11.0,5.0,0.0,0.0,1.0,0.0,112.0,0.598
Washington Sundar,All-Rounder,133.0,0.0,49.0,26.6,80.0,166.25,0.0,0.0,10.0,7.0,2.0,10.5,111.0,55.5,10.24,32.5,0.0,0.0,GT,6.0,5.0,1.0,0.0,0.0,0.0,80.0,0.33
Wiaan Mulder,Batsman,9.0,0.0,9.0,9.0,11.0,81.81,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SRH,1.0,1.0,0.0,1.0,0.0,0.0,6.0,0.174
Will Jacks,All-Rounder,233.0,1.0,53.0,23.3,172.0,135.46,0.0,1.0,22.0,11.0,6.0,14.0,120.0,20.0,8.57,14.0,0.0,0.0,MI,13.0,11.0,1.0,0.0,0.0,0.0,163.0,0.479
William O Rourke,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.2,132.0,22.0,12.77,10.33,0.0,0.0,LSG,3.0,0.0,0.0,0.0,1.0,0.0,38.5,0.162
Xavier Bartlett,Bowler,11.0,0.0,11.0,11.0,15.0,73.33,0.0,0.0,1.0,0.0,2.0,10.0,96.0,48.0,9.6,30.0,0.0,0.0,PBKS,4.0,1.0,0.0,0.0,1.0,0.0,50.0,0.12
Yash Dayal,Bowler,4.0,1.0,3.0,2.0,8.0,50.0,0.0,0.0,0.0,0.0,13.0,49.0,470.0,36.15,9.59,22.61,0.0,0.0,RCB,15.0,3.0,0.0,0.0,1.0,0.0,150.0,0.671
Yash Thakur,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.3,79.0,79.0,12.15,39.0,0.0,0.0,PBKS,2.0,0.0,0.0,0.0,1.0,0.0,14.5,0.0
Yashasvi Jaiswal,Batsman,559.0,1.0,75.0,43.0,350.0,159.71,0.0,6.0,60.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RR,14.0,14.0,0.0,1.0,0.0,0.0,273.0,0.99
Yudhvir Singh Charak,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,131.0,32.75,11.9,16.5,0.0,0.0,LSG,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.105
Yuzvendra Chahal,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,45.0,430.0,26.87,9.55,16.87,2.0,0.0,PBKS,14.0,0.0,0.0,0.0,1.0,0.0,134.0,0.823
Zeeshan Ansari,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,33.5,333.0,55.5,9.84,33.83,0.0,0.0,SRH,10.0,0.0,0.0,0.0,1.0,0.0,80.5,0.308
,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0
,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0
